Media,BT_Score,Std_Error,Rating
Things never before discussed: Doubts,297.08,0.3431,11
Childhood: Mental health,272.39,0.3431,11
Things never before discussed: Feelings,265.35,0.3431,11
Fears: Misunderstanding,262.04,0.3431,11
Things never before discussed: Hurts,253.62,0.3431,11
Love: Funny things,246.43,0.3431,11
Errors: Paradoxical beneficiality,245.02,0.3431,11
Things never before discussed: Knowledge,242.36,0.3431,11
The present instant,234.63,0.3431,11
Observations: Motives,234.52,0.3431,11
Things never before discussed: Crises,226.02,0.3431,10
Funny experiences: Absurd,215.3,0.3431,10
Language: Precision and ambiguity,212.24,0.3431,10
Predictions and guesses: Psychology,210.92,0.3431,10
Funny experiences: Revelatory,209.55,0.3431,10
Things never before discussed: Mysteries,204.42,0.3431,10
Fears: Ecological havoc,203.67,0.3431,10
Finest moments: Self-insight,201.46,0.3431,10
Things never before discussed: Fears,201.37,0.3431,10
Beliefs: Contradictions,200.39,0.3431,10
Things never before discussed: Wishes,199.51,0.3431,9
Things never before discussed: Wants,198.69,0.3431,9
Things never before discussed: Irrationalities,197.93,0.3431,9
Values,197.8,0.3431,9
Funny experiences: Tragicomic,197.67,0.3431,9
Predictions and guesses: Invention,197.65,0.3431,9
Love: Psychology,197.3,0.3431,9
Fears: Injustice,197.17,0.3431,9
Dreams: Feelings,196.35,0.3431,9
Worries: Self-ignorance,195.27,0.3431,9
Fears: Meaninglessness,195.15,0.3431,9
Funny experiences: Friends,194.37,0.3431,9
Things never before discussed: Purposes,192.64,0.3431,9
Language: Interpretations,192.6,0.3431,9
Funny experiences: Pets,190.44,0.3431,9
Funny experiences: Unique,190.04,0.3431,9
Funny experiences: Eating,189.02,0.3431,9
Funny experiences: Personal,187.37,0.3431,9
Films: Psychology,186.22,0.3431,9
Things never before discussed: Differences,185.34,0.3431,9
Language: Own,184.84,0.3431,8
Language: Onomatopoeia,184.82,0.3431,8
Funny experiences: Enigmatic,183.07,0.3431,8
Things never before discussed: Motives,181.59,0.3431,8
Childhood: Stories,181.4,0.3431,8
Language: Shibboleths,181.15,0.3431,8
Changes: Self,180.71,0.3431,8
Beliefs: Rational vs intuitive,180.13,0.3431,8
Language: Ghost words,179.73,0.3431,8
Things never before discussed: Failures,179.54,0.3431,8
Things never before discussed: Goals,177.45,0.3431,8
Changes: Attitudes,177.38,0.3431,8
Motivations,176.97,0.3431,8
Things never before discussed: Values,176.51,0.3431,8
Things never before discussed: Vices,176.19,0.3431,8
Love: Future,176.1,0.3431,8
Language: Contexts,175.73,0.3431,8
Language: Dialects,174.78,0.3431,8
Things never before discussed: Virtues,173.71,0.3431,8
Language: Hidden meanings,173.47,0.3431,8
Worries: Ecology,173.16,0.3431,7
Fears: Obsolescence of knowledge or skills,173.11,0.3431,7
Things never before discussed: Thoughts,172.1,0.3431,7
Observations: Correlations,171.98,0.3431,7
Childhood: Games and play,171.94,0.3431,7
Dreams: Present,171.87,0.3431,7
Finest moments: Cooperation,171.5,0.3431,7
Errors: Universal and rare,171.12,0.3431,7
Observations: Processes,170.92,0.3431,7
Things never before discussed: Errors,170.89,0.3431,7
Fears: Stagnation or retrogression,170.57,0.3431,7
Finest moments: Shared,170.43,0.3431,7
Childhood: Influences,170.36,0.3431,7
Fears: Conscious and unconscious,169.77,0.3431,7
Errors: Interconnected,169.28,0.3431,7
Things never before discussed,167.28,0.3431,7
Fears: Loneliness,167.24,0.3431,7
Love: Touchstones,166.58,0.3431,7
Fears: Death,166.42,0.3431,7
Books: Self-written diary or other,166.33,0.3431,7
Errors: Imagining possibilities,166.12,0.3431,6
Errors: Laughable and catastrophic,166.04,0.3431,6
Childhood: Dreams,165.97,0.3431,6
Observations: Mechanisms,165.06,0.3431,6
Things never before discussed: Loves,165.0,0.3431,6
Fears: Rejection,164.87,0.3431,6
Worries: Connections,163.67,0.3431,6
Love: Dynamics,163.27,0.3431,6
Books: Importance to self,162.95,0.3431,6
Predictions and guesses: Interrelations,161.99,0.3431,6
Love: Stages,161.03,0.3431,6
Love: In the arts,160.38,0.3431,6
Predictions and guesses: Probability,160.16,0.3431,6
Funny experiences: Childhood,160.1,0.3431,6
Beliefs: Secret,158.76,0.3431,6
Things never before discussed: Whimsies,157.99,0.3431,6
Beliefs: Artistic or aesthetic,154.96,0.3431,6
Dreams: Experiments,154.34,0.3431,6
Observations: Society,154.2,0.3431,6
Funny experiences: Improbable,152.04,0.3431,5
Observations: Sensa,151.84,0.3431,5
Love: Questions,151.38,0.3431,5
Things never before discussed: Attitudes,151.32,0.3431,5
Fears: Divine justice or caprice,151.24,0.3431,5
Dreams: Everyone's,150.44,0.3431,5
Fears: Quieting or mastering,150.42,0.3431,5
Language: Motivations,150.06,0.3431,5
Discoveries,148.42,0.3431,5
Observations: Causes and influences,148.29,0.3431,5
Things never before discussed: Weaknesses,148.18,0.3431,5
Fears: Scientific or technological hubris,147.9,0.3431,5
Love: Doubts and suspicions,147.75,0.3431,5
Things never before discussed: Needs,147.65,0.3431,5
Moral matters,147.44,0.3431,5
What is important,147.35,0.3431,5
Errors: Creativity,147.29,0.3431,5
Love: Needs,147.28,0.3431,5
Beliefs: Self-questionable,147.15,0.3431,5
Funny experiences: Travel,147.12,0.3431,5
Fears: Own,147.01,0.3431,5
Changes: Motivations,146.72,0.3431,5
Books: Life works,146.71,0.3431,5
Things never before discussed: Guilt,146.68,0.3431,5
Changes: World events,146.66,0.3431,5
Observations: Cooperation,145.41,0.3431,5
Language: Nature,145.37,0.3431,5
Observations: Patterns,144.94,0.3431,5
Dreams: Childhood,144.78,0.3431,5
Love: Fears,144.67,0.3431,5
Beliefs: Other person's,144.65,0.3431,5
Books: Raison d'etre,144.24,0.3431,5
Language: Favorite words,144.18,0.3431,5
Beauty: Scientific,144.17,0.3431,5
Things never before discussed: Secrets,144.06,0.3431,5
Language: Usages,143.88,0.3431,5
Observations: Analogies,143.85,0.3431,5
Predictions and guesses: Wisdom,143.29,0.3431,5
Predictions and guesses: Change,143.26,0.3431,5
Childhood: Thoughts and ideas,143.03,0.3431,5
Wisdom and prudence,142.65,0.3431,4
Childhood: Retrospective realizations,142.5,0.3431,4
Language: Experiments,142.14,0.3431,4
Mental associations,141.57,0.3431,4
Beliefs: Moral,141.5,0.3431,4
Worries: Life course,141.18,0.3431,4
Decisions,140.98,0.3431,4
Day's happenings: Pleasures,140.88,0.3431,4
Predictions and guesses: Fundamental,139.28,0.3431,4
Dreams: Thoughts,139.14,0.3431,4
Finest moments: Ever,138.42,0.3431,4
Childhood: Illusions,138.31,0.3431,4
Fears: Dystopian future,138.2,0.3431,4
Wonders,137.21,0.3431,4
Tastes: Literature,136.68,0.3431,4
Errors: Self-analysis,136.36,0.3431,4
Dreams: Importance,136.28,0.3431,4
Fears: Ananke,136.14,0.3431,4
Language: Computer language and programs,135.96,0.3431,4
Predictions and guesses: Reaction,135.35,0.3431,4
Observations: Qualities,135.2,0.3431,4
Language: Puns,135.1,0.3431,4
Observations: Moments,134.68,0.3431,4
Illusions,134.01,0.3431,4
Childhood: Triumphs,133.34,0.3431,4
Books: Lent or given,133.02,0.3431,4
Language: Psychology,133.01,0.3431,4
Personal news,132.79,0.3431,4
Finest moments: Imaginable,132.73,0.3431,4
Things never before discussed: Ideals,132.29,0.3431,4
Changes: Beliefs,132.27,0.3431,4
Fears: Ignorance,130.91,0.3431,4
Finest moments: Discovery,130.62,0.3431,4
Love: Starts,130.12,0.3431,4
Conflicts and disagreements: Feelings,129.65,0.3431,4
Observations: Interactions,129.42,0.3431,4
Love: Paradoxes,129.04,0.3431,4
Childhood: Reading,128.7,0.3431,4
Things never before discussed: Defects,128.67,0.3431,4
Love: Interest,128.51,0.3431,4
Dreams: Re: future,128.22,0.3431,4
Observations: Discrepancies,127.95,0.3431,4
Funny experiences: Nature,127.62,0.3431,4
Beliefs: Origins,127.61,0.3431,4
Language: Messages,127.04,0.3431,4
Love: After effects,127.04,0.3431,4
Funny experiences: Fantasied,126.91,0.3431,4
Childhood: Quirks,126.89,0.3431,4
Errors: Perception,126.71,0.3431,4
Worries: Misinformation,126.68,0.3431,4
Love: Types,125.76,0.3431,4
Funny experiences: Kids,125.76,0.3431,4
Fears: Forgetting,125.42,0.3431,4
Things never before discussed: Experiences,124.88,0.3431,4
Finest moments: Being helped,124.6,0.3431,4
Worries: Decisions,124.51,0.3431,4
Day's happenings: Realizations,124.47,0.3431,4
Childhood,124.36,0.3431,4
Worries: Others' intentions,124.28,0.3431,4
Childhood: Revelations,123.74,0.3431,4
Finest moments: Nature,123.73,0.3431,4
Dreams: Insights,123.69,0.3431,4
Finest moments: Travel,123.57,0.3431,4
Dreams: Family's,123.29,0.3431,4
Changes: Views,123.19,0.3431,4
Love: Wants,123.13,0.3431,4
Predictions and guesses: Value,123.05,0.3431,4
Childhood: Friends,123.01,0.3431,4
Reflections,122.96,0.3431,4
Beliefs: Methodological,122.92,0.3431,4
Observations: Behavior,122.82,0.3431,4
Predictions and guesses: Truth,122.68,0.3431,4
Finest moments: Helping,122.34,0.3431,4
Errors: Comforting or consoling,121.31,0.3431,4
Language: Writing,121.28,0.3431,4
Worries: Incompleteness,121.01,0.3431,4
Finest moments: Play,121.0,0.3431,4
Feelings,120.28,0.3431,4
Changes: Capacities,120.16,0.3431,4
Predictions and guesses: History,120.07,0.3431,3
Questions,120.01,0.3431,3
Tastes: Cinema,119.97,0.3431,3
Language: Misnomers,119.96,0.3431,3
Films: Recommended,119.91,0.3431,3
Fears: Exclusion,119.87,0.3431,3
Fears: Incompetence,119.75,0.3431,3
Day's happenings: Feelings,119.73,0.3431,3
Beliefs: Hypothetical,119.61,0.3431,3
Quotations: Conversations past,119.53,0.3431,3
Beliefs: Original vs derivative,119.5,0.3431,3
Childhood: Disappointments,119.48,0.3431,3
Beliefs: Assumptions,119.45,0.3431,3
Childhood: Experiments,119.43,0.3431,3
Observations: Opportunities,119.33,0.3431,3
Thoughts,119.32,0.3431,3
Love: Proofs of affection,118.7,0.3431,3
Childhood: Talents and skills,118.68,0.3431,3
Things never before discussed: Interests,118.64,0.3431,3
Childhood: Decisions,118.52,0.3431,3
Consolations,118.21,0.3431,3
Worries: Misunderstanding,118.15,0.3431,3
Love: Ideal lover,117.77,0.3431,3
Childhood: Feelings,117.76,0.3431,3
Funny experiences: Group,117.6,0.3431,3
Predictions and guesses: Discovery,117.41,0.3431,3
Books: Themes,116.97,0.3431,3
Observations: Children,116.96,0.3431,3
Finest moments: Ecstasy,116.77,0.3431,3
One's unhappiness and joys,116.67,0.3431,3
Observations: Diversity,116.44,0.3431,3
