Media,BT_Score,Std_Error,Rating
Needs,276.79,0.341,11
Fears: Conscious and unconscious,262.11,0.341,11
Things never before discussed: Ideals,257.46,0.341,11
Things never before discussed: Experiences,247.6,0.341,11
Things never before discussed: Fears,243.97,0.341,11
Well-being,233.6,0.341,11
Things never before discussed: Interests,226.7,0.341,11
Fears: Own,224.49,0.341,11
One's unhappiness and joys,224.34,0.341,11
Funny experiences: Childhood,220.23,0.341,11
Day's happenings: Well-being or health,219.93,0.341,10
Things never before discussed: Feelings,219.54,0.341,10
Beliefs: Firm or fundamental,212.31,0.341,10
Things never before discussed: Wishes,209.57,0.341,10
Books: Value,205.31,0.341,10
Finest moments: Family,197.54,0.341,10
Beliefs: Scientific,196.05,0.341,10
Love: Stories,194.09,0.341,10
Finest moments: Discovery,194.01,0.341,10
Dreams: Types,192.95,0.341,10
Moral matters,190.98,0.341,9
Dreams: Insights,190.56,0.341,9
Childhood: Needs,189.72,0.341,9
Finest moments: Shared,189.53,0.341,9
Language: Hidden meanings,189.23,0.341,9
Things never before discussed: Doubts,189.09,0.341,9
Childhood: Retrospective realizations,188.83,0.341,9
Things never before discussed: Knowledge,186.59,0.341,9
Things never before discussed: Values,182.64,0.341,9
Funny experiences: Kids,179.3,0.341,9
Love: Lessons,178.74,0.341,9
Fears: Ecological havoc,178.54,0.341,9
Fears: Shared with the other person,177.16,0.341,9
Childhood: Influences,177.04,0.341,9
Language: Precision and ambiguity,176.2,0.341,9
Wisdom and prudence,175.56,0.341,9
Beliefs: Philosophic,175.26,0.341,9
Books: Importance to self,174.07,0.341,9
Love: Importance,173.45,0.341,9
Values,173.26,0.341,9
Beauty: In nature,173.14,0.341,8
Things never before discussed: Wants,172.56,0.341,8
Dreams: Thoughts,172.04,0.341,8
Things never before discussed: Purposes,171.87,0.341,8
Things never before discussed: Failures,171.56,0.341,8
Things never before discussed: Beliefs,167.12,0.341,8
Love: Dynamics,166.63,0.341,8
Observations: Diversity,166.26,0.341,8
Funny experiences: Unique,164.89,0.341,8
Childhood: Mentors,163.45,0.341,8
Finest moments: Nature,163.23,0.341,8
Things never before discussed: Mysteries,163.01,0.341,8
Love: Fears,162.17,0.341,8
Fears: Injustice,161.43,0.341,8
Love: Needs,160.48,0.341,8
Extraordinary individuals,160.07,0.341,8
Childhood: Virtues and good deeds,159.46,0.341,8
Funny experiences: Revelatory,159.16,0.341,8
Beliefs: Child-raising,153.82,0.341,8
Childhood: Funny things,152.58,0.341,8
Observations: Opportunities,152.38,0.341,7
Beliefs: Moral,151.93,0.341,7
Things never before discussed: Irrationalities,149.09,0.341,7
Funny experiences: Tragicomic,148.09,0.341,7
Childhood: Talents and skills,147.82,0.341,7
Changes: World events,147.52,0.341,7
Funny experiences: Travel,147.3,0.341,7
What is important,146.81,0.341,7
Love: Interest,146.61,0.341,7
Things never before discussed: Goals,146.54,0.341,7
Beliefs: Childhood,146.41,0.341,7
Childhood: Wishes,146.39,0.341,7
Childhood: Games and play,146.04,0.341,7
Observations: Analogies,145.89,0.341,7
Observations: Comfort and satisfaction,145.35,0.341,7
Wonders,145.3,0.341,7
Language: Interpretations,145.25,0.341,7
Errors: Problem solving,145.18,0.341,7
Childhood: Pets,145.06,0.341,7
Fears: Stagnation or retrogression,144.53,0.341,7
Funny experiences: Cognitive,144.5,0.341,6
Goals,144.4,0.341,6
Books: Recommended,144.3,0.341,6
Books: Desired,143.99,0.341,6
Fears: Cause and bases,143.28,0.341,6
Childhood: Neighborhood,143.25,0.341,6
Conflicts and disagreements: Solutions,142.91,0.341,6
Finest moments: Spiritual,142.77,0.341,6
Observations: Society,142.02,0.341,6
Childhood: Acts and deeds,141.92,0.341,6
Love: Questions,141.9,0.341,6
Language: Motivations,141.4,0.341,6
Funny experiences: Coincidences,141.24,0.341,6
Beauty: Architectural,140.96,0.341,6
Funny experiences: Group,140.16,0.341,6
Beliefs: Rational vs intuitive,140.12,0.341,6
Fears: Childhood,140.06,0.341,6
Worries: Self,139.96,0.341,6
Childhood: Encounters,139.67,0.341,6
Love: Future,139.12,0.341,5
Observations: Oddities,138.81,0.341,5
Observations: Moments,138.73,0.341,5
Dreams: Symbolism,138.3,0.341,5
Dreams: Causes,137.02,0.341,5
Discoveries,136.72,0.341,5
Books: Libraries,136.42,0.341,5
Dreams: Re: present,136.41,0.341,5
Errors: Comforting or consoling,136.26,0.341,5
Predictions and guesses: Discovery,136.24,0.341,5
Predictions and guesses: Invention,136.06,0.341,5
Worries: Life course,136.04,0.341,5
Changes: Spouse,135.95,0.341,5
Changes: Economy,135.22,0.341,5
Perspectives,131.63,0.341,5
Childhood: Nature,131.52,0.341,5
Books: Interest,131.17,0.341,5
Personal news,129.95,0.341,5
Beliefs: Origins,129.81,0.341,5
Things never before discussed: Attitudes,129.79,0.341,5
Conflicts and disagreements: Morality,129.41,0.341,5
Love,129.38,0.341,5
Childhood: Mental health,127.62,0.341,5
Dreams: Own,127.33,0.341,5
Childhood: Ambitions goals and plans,127.28,0.341,5
Childhood: Stories,127.23,0.341,5
Errors: Analysis,126.7,0.341,5
Suggestions and advice,126.59,0.341,5
Childhood: Thoughts and ideas,125.7,0.341,5
Childhood: Reading,125.58,0.341,5
Things never before discussed,125.55,0.341,5
Finest moments: Private,125.26,0.341,5
Things never before discussed: Needs,125.24,0.341,5
Childhood: Motivations,125.23,0.341,5
Funny experiences: School,124.55,0.341,5
Language: Literature,124.47,0.341,5
Things never before discussed: Relationships,124.16,0.341,5
Changes: Self,124.1,0.341,5
Books: Stories,123.55,0.341,5
Books: Content,123.53,0.341,5
Day's happenings: Realizations,123.4,0.341,4
Beliefs: Logic,123.12,0.341,4
Funny experiences: Chore-related,122.71,0.341,4
Day's happenings: Mental life,122.68,0.341,4
Books: Genres,122.24,0.341,4
Observations: Causes and influences,122.22,0.341,4
Things never before discussed: Loves,121.89,0.341,4
Fears: Quieting or mastering,121.79,0.341,4
Worries: Goals,121.26,0.341,4
Fears: Meaninglessness,120.7,0.341,4
Childhood: Hobbies,120.62,0.341,4
Observations: Cooperation,119.99,0.341,4
Day's happenings: Worries and concerns,119.77,0.341,4
Funny experiences: Lucky,119.26,0.341,4
Worries: One's kids,119.15,0.341,4
Fears: Loneliness,118.95,0.341,4
Worries: Family,118.9,0.341,4
Childhood: Friends,118.81,0.341,4
Childhood: Vacations,118.78,0.341,4
Funny experiences: Present,118.7,0.341,4
Love: Proofs of affection,118.65,0.341,4
Funny experiences: Other person's,118.63,0.341,4
Day's happenings: Creations,118.53,0.341,4
Finest moments: Success,118.42,0.341,4
Childhood: Lessons,118.31,0.341,4
Concepts,118.3,0.341,4
Childhood: Geography,117.92,0.341,4
Funny experiences: Spouse,117.87,0.341,4
Funny experiences: Personal,117.72,0.341,4
Thoughts,117.11,0.341,4
Customs: Conversation,116.98,0.341,4
Finest moments: Peace,116.96,0.341,4
Predictions and guesses: Wisdom,116.44,0.341,4
Language: Irregularities,115.53,0.341,4
Worries: Progress and decay,115.45,0.341,4
Observations: Beauty and ugliness,114.57,0.341,4
Day's happenings: Surprise,113.79,0.341,4
Childhood: Daydreams,113.68,0.341,4
Conflicts and disagreements: Importance,113.62,0.341,4
Challenges,113.29,0.341,4
Things never before discussed: Disappointments,112.24,0.341,4
