Media,BT_Score,Std_Error,Rating
Things never before discussed: Needs,311.55,0.341,11
Beliefs: Self-questionable,296.28,0.341,11
Things never before discussed: Failures,262.9,0.341,11
Things never before discussed,256.55,0.341,11
Things never before discussed: Doubts,250.77,0.341,11
Things never before discussed: Virtues,242.96,0.341,11
Things never before discussed: Hurts,242.78,0.341,11
Things never before discussed: Feelings,242.71,0.341,11
Fears: Shared with the other person,237.6,0.341,11
Things never before discussed: Ideals,237.33,0.341,11
Finest moments: Self-insight,236.47,0.341,10
Things never before discussed: Goals,230.04,0.341,10
Childhood: Retrospective realizations,229.32,0.341,10
Language: Precision and ambiguity,225.94,0.341,10
Errors: Study and learning,225.23,0.341,10
Language: Interpretations,224.12,0.341,10
Things never before discussed: Wants,217.24,0.341,10
Conflicts and disagreements: Morality,216.91,0.341,10
Errors: Appreciating,214.34,0.341,10
Changes: Values,210.93,0.341,10
Love: Thoughts,209.79,0.341,9
Values,208.35,0.341,9
Fears: Injustice,205.8,0.341,9
Childhood: Creations,203.81,0.341,9
Errors: Own,199.71,0.341,9
Things never before discussed: Beliefs,199.28,0.341,9
Things never before discussed: Values,198.97,0.341,9
Errors: Self-analysis,198.67,0.341,9
Childhood: Lessons,197.93,0.341,9
Finest moments: Being helped,197.44,0.341,9
Things never before discussed: Guilt,197.36,0.341,9
Truth and falsehood,197.33,0.341,9
Errors: Living,197.04,0.341,9
Beliefs: Contradictions,196.54,0.341,9
Errors: Reading motives or intentions,194.87,0.341,9
Finest moments: Shared,193.78,0.341,9
Conflicts and disagreements: Principle,192.4,0.341,9
Things never before discussed: Differences,191.62,0.341,9
Love: In literature,191.34,0.341,9
Beliefs: Origins,191.06,0.341,9
Things never before discussed: Fears,190.34,0.341,8
Funny experiences: Tragicomic,189.88,0.341,8
Funny experiences: Revelatory,188.82,0.341,8
Love: Causes,188.4,0.341,8
Errors: Paradoxical beneficiality,183.34,0.341,8
Language: Comparisons,179.98,0.341,8
Things never before discussed: Errors,179.87,0.341,8
Love: Importance,179.54,0.341,8
Beliefs: Methodological,179.35,0.341,8
Beliefs: Rational vs intuitive,179.26,0.341,8
Changes: Self,177.9,0.341,8
Things never before discussed: Wishes,176.72,0.341,8
Human nature,176.23,0.341,8
Things never before discussed: Purposes,175.82,0.341,8
Beliefs: Interpretive,174.32,0.341,8
Ideals,173.95,0.341,8
Fears: Obsolescence of knowledge or skills,173.62,0.341,8
Childhood: Talents and skills,173.37,0.341,8
Childhood: Revelations,172.92,0.341,8
Beliefs: Original vs derivative,172.51,0.341,8
Beliefs: Heterodox,171.25,0.341,7
Fears: Meaninglessness,170.92,0.341,7
Childhood: Ambitions goals and plans,170.88,0.341,7
Love: Lessons,170.79,0.341,7
Love: Paradoxes,170.48,0.341,7
Worries: Tradeoffs,170.3,0.341,7
Changes: Psychology,169.46,0.341,7
Dreams: Feelings,169.1,0.341,7
One's unhappiness and joys,168.28,0.341,7
Worries: Interdependences,167.6,0.341,7
Beliefs: Firm or fundamental,166.19,0.341,7
Errors: Creativity,166.03,0.341,7
Errors: Experimentation,165.52,0.341,7
Childhood: Imperfections,165.46,0.341,7
Love: Dynamics,165.09,0.341,7
Language: Subsenses,165.05,0.341,7
Language: Limitations,164.65,0.341,7
Childhood: Motivations,164.61,0.341,7
Beliefs: Philosophic,164.42,0.341,7
One's own character,163.01,0.341,7
Errors: Feeling,162.16,0.341,6
Things never before discussed: Motives,160.74,0.341,6
Changes: Attitudes,160.47,0.341,6
Funny experiences: Unique,159.89,0.341,6
Language: Dialects,158.75,0.341,6
Love: Errors,158.37,0.341,6
Predictions and guesses: Change,157.79,0.341,6
Dreams: Insights,157.67,0.341,6
Language: Ancient,156.57,0.341,6
Love: Stories,156.53,0.341,6
Things never before discussed: Interests,154.19,0.341,6
Things never before discussed: Irrationalities,153.21,0.341,6
Language: Inconsistencies,153.03,0.341,6
Language: Psychology,152.96,0.341,6
Changes: Ideas,152.76,0.341,6
Things never before discussed: Loves,152.62,0.341,6
Beliefs,151.85,0.341,6
Errors: Patterns,151.83,0.341,6
Language: Hidden meanings,151.26,0.341,6
Things never before discussed: Weaknesses,150.53,0.341,5
Things never before discussed: Criticisms,150.28,0.341,5
Changes: Relationships,149.98,0.341,5
Language: Motivations,148.87,0.341,5
Beauty: Moral,148.85,0.341,5
Day's happenings: Creations,148.29,0.341,5
Language: Connotations,148.09,0.341,5
Childhood: Beliefs,148.02,0.341,5
Books: Importance to self,147.57,0.341,5
Language: Writing,147.27,0.341,5
Dreams: Own,146.96,0.341,5
Finest moments: Responsibility,146.73,0.341,5
Motivations,146.48,0.341,5
Childhood: Advice given,146.2,0.341,5
Wisdom and prudence,146.07,0.341,5
Errors: Imagining possibilities,146.04,0.341,5
Language: Ghost words,145.9,0.341,5
Language: Contexts,145.2,0.341,5
Observations: Symmetries,145.2,0.341,5
Fears: Loneliness,143.93,0.341,5
Observations: Causes and influences,143.92,0.341,5
Errors: Problem solving,143.88,0.341,5
Observations: Analogies,143.55,0.341,5
Beliefs: Moral,143.51,0.341,5
Books: Themes,143.34,0.341,5
Moral matters,143.0,0.341,5
Love: Levels,141.94,0.341,5
Finest moments: Helping,141.83,0.341,5
Language: Literature,141.83,0.341,5
Insights,141.45,0.341,5
Errors: Analysis,141.1,0.341,5
Love: Questions,141.07,0.341,5
Observations: Behavior,140.92,0.341,5
Errors: Life planning,140.53,0.341,5
Intellectual problems,140.44,0.341,5
Beliefs: New,140.38,0.341,5
Fears: Ignorance,140.16,0.341,5
Consolations,139.69,0.341,5
Beliefs: Other person's,139.6,0.341,5
Childhood: Disappointments,139.31,0.341,5
Books: Interest,139.26,0.341,4
Mental associations,138.9,0.341,4
Love: Fallacies,138.76,0.341,4
Fears: Conscious and unconscious,138.33,0.341,4
Tradeoffs,138.29,0.341,4
Worries: Misrepresentation,137.99,0.341,4
Worries: Capacities,137.6,0.341,4
Worries: Life course,137.21,0.341,4
Progress,136.81,0.341,4
Observations: Self,136.37,0.341,4
Books: Reading methods,136.2,0.341,4
Observations: Creatures,135.53,0.341,4
The present instant,133.78,0.341,4
Love: Solutions,132.24,0.341,4
Language: Trends,132.14,0.341,4
Childhood: Extended family,132.0,0.341,4
Language: Experiments,131.72,0.341,4
Errors: Logic,130.36,0.341,4
Language: Messages,130.19,0.341,4
What is important,130.11,0.341,4
Love: Symptoms,129.74,0.341,4
Books: Value,129.66,0.341,4
Love: Needs,128.62,0.341,4
Errors: Helping,128.06,0.341,4
Beliefs: Abandoned,127.92,0.341,4
Books: Methods,127.83,0.341,4
Love: Fears,127.68,0.341,4
Things never before discussed: Knowledge,127.38,0.341,4
Perspectives,127.33,0.341,4
Day's happenings: Realizations,127.06,0.341,4
Beliefs: Logic,126.72,0.341,4
Finest moments: Freedom,126.08,0.341,4
Beliefs: Corollaries,125.88,0.341,4
Finest moments: Creation,125.53,0.341,4
Worries: Values,125.52,0.341,4
Predictions and guesses: Fundamental,125.25,0.341,4
Funny experiences: Coincidences,125.13,0.341,4
Worries: Autonomy,124.65,0.341,4
Observations: Motives,124.58,0.341,4
Fears: Misunderstanding,124.58,0.341,4
Language: Usages,124.42,0.341,4
Observations: Patterns,124.41,0.341,4
Wishes,124.34,0.341,4
Things never before discussed: Mysteries,124.06,0.341,4
Errors: Crisis management and resolution,123.95,0.341,4
Interests,123.71,0.341,4
Changes: Friendships,123.67,0.341,4
Childhood: Upbringing,123.52,0.341,4
Books: Critical,123.44,0.341,4
Finest moments,123.29,0.341,4
Fears: Scientific or technological hubris,123.26,0.341,4
Errors: Importance,123.06,0.341,4
Observations: Interactions,123.02,0.341,4
Beliefs: Secret,123.01,0.341,4
Beliefs: Assumptions,122.77,0.341,4
Conflicts and disagreements: Help,122.75,0.341,4
Errors: Moral matters,122.72,0.341,4
Discoveries,122.72,0.341,4
Love: Starts,122.58,0.341,4
Conflicts and disagreements: Choice,122.49,0.341,4
Errors: Perception,122.48,0.341,4
Day's happenings: Discoveries,122.41,0.341,4
Beliefs: Applications,122.34,0.341,4
Conflicts and disagreements: Method,122.33,0.341,4
Childhood: Sacrifices,121.88,0.341,4
Conflicts and disagreements: Interpretation,121.85,0.341,4
Funny experiences: Personal,121.74,0.341,4
The other person,121.55,0.341,4
One's relationship with the other person,121.52,0.341,4
Worries: Progress and decay,121.37,0.341,4
Books: Other languages,121.3,0.341,4
Finest moments: Spiritual,121.25,0.341,4
Worries: Self-ignorance,121.19,0.341,4
Funny experiences: Cognitive,121.09,0.341,4
Beliefs: Childhood,121.02,0.341,4
Things previously discussed: Own reactions,120.82,0.341,4
Observations: Deeds,120.53,0.341,4
Suggestions and advice,120.33,0.341,4
Childhood: Advantages and disadvantages,120.1,0.341,4
Tastes: Theories and ideas,119.85,0.341,3
Doubts,119.73,0.341,3
Things never before discussed: Thoughts,119.72,0.341,3
Observations: Cooperation,119.57,0.341,3
Love: Endings,119.4,0.341,3
Conflicts and disagreements: Context,119.27,0.341,3
Philosophy,119.18,0.341,3
Worries: Connections,119.16,0.341,3
Love,119.11,0.341,3
Language: Expressions,118.96,0.341,3
Changes: Habits,118.96,0.341,3
Fears: Failure,118.95,0.341,3
Love: Present,118.88,0.341,3
Childhood: Influences,118.87,0.341,3
Childhood: Regrets,118.61,0.341,3
Finest moments: Ever,118.58,0.341,3
Funny experiences: Hobbies,118.54,0.341,3
One's faults and limitations,118.16,0.341,3
Fears: Revolutionary change,117.88,0.341,3
Childhood: Triumphs,117.49,0.341,3
Beauty: Absolute,117.35,0.341,3
Errors: Explanation,117.3,0.341,3
Love: Costs,117.25,0.341,3
Finest moments: Family,117.16,0.341,3
Conflicts and disagreements: Why,117.08,0.341,3
Tastes: Morals,116.74,0.341,3
Errors: In fiction,116.13,0.341,3
Books: Stories,115.99,0.341,3
Beliefs: Friends',115.59,0.341,3
Conflicts and disagreements: Inclusion,115.02,0.341,3
Fears: Divine justice or caprice,114.89,0.341,3
Conflicts and disagreements: Society,114.78,0.341,3
Errors: Tactics and strategy,114.52,0.341,3
Beauty: Literary,114.41,0.341,3
Errors: Improvising,114.39,0.341,3
One's research,113.94,0.341,3
Worries: Others' intentions,113.71,0.341,3
Observations: Asymmetries,113.42,0.341,3
Fears: Cause and bases,113.35,0.341,3
Funny experiences: Pets,113.26,0.341,3
Lessons,112.93,0.341,3
Changes: Beliefs,112.87,0.341,3
Errors: Guiding,111.84,0.341,3
Questions,111.62,0.341,3
Things never before discussed: Disappointments,111.52,0.341,3
Language: Eponyms,111.44,0.341,3
Conflicts and disagreements,111.43,0.341,3
Worries: Relationships,111.34,0.341,3
Beliefs: Critical,111.21,0.341,3
Opportunities,111.15,0.341,3
Conflicts and disagreements: Logic,110.63,0.341,3
Finest moments: Virtue,109.86,0.341,3
Love: Illusions,109.78,0.341,3
Childhood: Illusions,109.67,0.341,3
Conflicts and disagreements: Priority,109.3,0.341,3
Explanations,109.21,0.341,3
Errors: Interconnected,108.04,0.341,3
Worries,108.01,0.341,3
Beliefs: Predictive,107.98,0.341,3
Worries: Irrelevance,107.85,0.341,3
Language: Other person's,107.39,0.341,3
Books: Comparison,107.3,0.341,3
Conflicts and disagreements: Implications,106.88,0.341,3
Funny experiences: Cooking,106.74,0.341,3
Childhood: Feelings,106.22,0.341,3
Changes: Motivations,105.89,0.341,3
Childhood: Quirks,105.68,0.341,3
Predictions and guesses: Psychology,105.6,0.341,3
Things never before discussed: Relationships,105.54,0.341,3
Language: Combinations,105.3,0.341,3
Worries: One's kids,104.81,0.341,3
Beliefs: Synthetic,104.66,0.341,3
Conflicts and disagreements: Advice or suggestions,104.37,0.341,3
Concepts,104.31,0.341,3
Language,104.18,0.341,3
Errors: Child raising,103.83,0.341,3
Childhood: Thoughts and ideas,103.47,0.341,3
Errors: Interpretation,103.24,0.341,3
Things previously discussed: Relationships,103.17,0.341,3
Worries: Ecology,102.81,0.341,3
Funny experiences: Childhood,102.62,0.341,3
Love: Methods,102.34,0.341,3
Love: Touchstones,102.25,0.341,3
Love: Psychology,102.17,0.341,3
Childhood: Needs,102.08,0.341,3
